PREV_EXTRACT_TS;CURR_EXTRACT_TS;CRUD_ACTION;DOMAIN;PAYLOAD
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"24","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"25","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"26","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"27","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"28","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"29","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"30","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"31","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"32","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"33","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"34","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"35","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"36","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"37","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"38","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"39","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"40","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"41","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"42","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"43","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"44","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"45","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"46","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"47","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"48","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"49","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"50","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"51","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"52","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"53","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"54","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"55","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"56","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"57","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"58","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"59","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"60","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"61","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"62","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"63","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"64","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"65","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"66","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"67","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"68","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"69","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"70","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"71","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"72","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"73","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"74","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"75","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"76","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"77","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"78","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
2021-07-01-11.00.00.123456;2021-07-01-12.00.00.123999;U;BS_GENERAL          ;{"TABLE":"POSTDISTRIKT ","DATA": {"POSTD_NR":"79","LANDE_KODE_CHA_2":"TT","POSTD_ADR":"TORSHAVN","POSTD_SAEK_NR":100,"OPDAT_TID":"1996-09-11-15.54.05.142262","USERID":"    U082"}}
